<WELLCONSTRUCTION>,,,,
Bore,Depth_top_C,Depth_bot_C,Diam_in,Cons_Type
A. Isaac,-2,105,6,Steel
A. Isaac,6,135,4.5,PVC
A. Isaac,135,155,4.5,Screen-PVC
A. Isaac,155,435,4.5,PVC
A. Isaac,435,515,4.5,Screen-PVC
A. Woodbridge,-1,435,6.6,Steel
A. Woodbridge,435,440,5,Screen-SS
A.D. Watkins,2,21,16,Steel
A.D. Watkins,2.5,295,10,Steel
A.D. Watkins,295,795,10,Open
A.L. Clark; 1,0,60,3,Steel
A.T. Noble,0,430,6,Steel
AL Cattle Co. (600ft),-1,395,6,Steel
AL Cattle Co. (600ft),-1,520,5,Steel
AL Cattle Co. (600ft),520,600,6,Open
Ark Properties,-2,602,16,Steel
Ark Properties,602,612,10,Screen-SS
Ark Properties,612,638,10,Steel
Ark Properties,638,678,10,Screen-SS
Ark Properties,678,690,10,Steel
Ark Properties,690,750,10,Screen-SS
Ark Properties,750,762,10,Steel
Ark Properties,762,772,10,Screen-SS
Ark Properties,772,792,10,Steel
Ark Properties,792,795,10,Screen-SS
B. Buckner,-1,559,6,Steel
B. Buckner,564,574,5,Screen-SS
B. Buckner,574,595,5,Steel
B. Buckner,595,605,5,Screen-SS
B. Weatherby,-1,18,8,Steel
B. Weatherby,18,310,8,Open
Beacon Heights LLC,19,949,2,PVC
Beacon Heights LLC,929,949,2,Screen-PVC
Big D Ranch Inc,-1,100,20,Steel
Big D Ranch Inc,100,109,18,Steel
Big D Ranch Inc,1040,1120,8,Perforations-steel
Black Canyon Ptnrs T2,-2,57,6,Steel
Black Canyon Ptnrs T2,57,500,6,Open
Bogus Basin Lot Dev,-2,55,8,Steel
Bogus Basin Lot Dev,-2,512,6,Steel
Bogus Basin Lot Dev,488,491,5.6,Steel
Bogus Basin Lot Dev,491,520,5,Steel
Bogus Basin Lot Dev,520,540,5,Perforations-steel
Bogus Basin Lot Dev,540,560,5,Steel
Bogus Basin Lot Dev,560,580,5,Perforations-steel
Bogus Basin Lot Dev,580,600,5,Steel
Bogus Basin Lot Dev,600,620,5,Perforations-steel
Bogus Basin Lot Dev,620,760,5,Steel
Bond Campbell Const,-2,564,6,Steel
C. Michelson,-2,78,6,Steel
C. Rohn,-1.5,1081.5,6,Steel
C. Surmeier,1,138,8,Steel
C. Zeyes,-1.5,158.5,6,Steel
C. Zeyes,158.5,218,6,Open
C.A. Moore,-1,106,6,Steel
C.L. Post,-2,398,8,Steel
CanyonCo; Clbtn Pk,-2,54.5,6,Steel
CanyonCo; Clbtn Pk,54.5,60,6,Open
City Boise Dixie Drn,-2,158,8,Steel
City Boise Dixie Drn,155,160,6,Steel
City Boise Dixie Drn,160,170,6,Screen-SS
City Boise PWD,-2,118,20,Steel
City Boise PWD,450,540,12,Steel
City Boise PWD,540,600,12,Perforations-steel
City Nampa Roosevelt,-3,186,20,Steel
City Nampa Roosevelt,166,188,16,Steel
City Nampa Roosevelt,188,200,16,Screen-SS
City Nampa Roosevelt,200,213,16,Steel
City Nampa Roosevelt,213,219,16,Screen-SS
City Nampa Roosevelt,219,292,16,Steel
