<AQUIFER>,,
Bore,Depth_Water,WL_Date
A. Isaac,224,26-Aug-16
A. Woodbridge,370,16-Aug-02
A.D. Watkins,660,19-Jan-86
A.L. Clark; 1,-1,1-Jan-13
A.L. Clark; 2,-1,16-Nov-39
A.T. Noble,360,15-Mar-62
Ada No. 1,190,1-May-39
Ada No. 1,673,1-May-39
Ada No. 1,544,1-May-39
Ark Properties,270,12-Jun-08
B. Buckner,390,20-Mar-97
B. Weatherby,243,9-Oct-73
Beacon Heights LLC,365,18-Oct-06
Berglund No. 1,110,1-Jan-28
Berglund No. 1,576,1-Jan-28
Big D Ranch Inc,250,31-Dec-76
Black Canyon Ptnrs T2,20,28-Jun-04
Bogus Basin Lot Dev,300,19-Apr-05
Bond Campbell Const,400,3-Aug-07
C. Michelson,17.5,18-Oct-06
C. Rohn,267,17-Apr-05
C. Surmeier,101,12-Jun-95
C. Zeyes,158,4-Dec-81
C.A. Moore,100,10-Feb-91
C.L. Post,233,8-Jun-96
CanyonCo; Clbtn Pk,19,23-Jan-92
City Boise Dixie Drn,-2.3,4-May-16
City Boise PWD,285,1-Nov-03
City Nampa Roosevelt,13,29-Jun-01
City Nampa; well 3,33,31-Oct-08
City of Adrian,11,5-Feb-82
City of Greenleaf,61,15-Sep-05
City of Wilder; 3,77,1-Aug-97
City of Wilder; 4,69.67,5-Jan-11
D Phillips Embssy Inc,110,26-Mar-75
D. Brant,500,1-Apr-64
D. Gerstenslager,235,11-Jul-89
D. Hansen,205,15-Dec-00
D. Holbrook,50,29-Jul-74
D. Last,297,3-Jan-72
D. Madthson,240,6-Sep-97
D. McDonald,48,11-May-05
D. Roberts,335,24-Jul-94
D. Smitchger,130,13-May-03
D. Van Es,303,28-Mar-07
D. Whitlow,16,4-Mar-76
D. Yamamoto,224,19-Apr-11
D. Yanke,150,17-Dec-03
D.G. Gibson,76.5,7-Aug-09
D.K. Payne,430,18-Oct-78
D.M. Baker,687,31-Dec-72
Delmonte Meat Co.,9,3-Jul-14
E. Good,700,31-Mar-67
E.H. Yager,45,1-Aug-35
E.R. Allen,26,12-Apr-77
E.T. Evans; 1,278,26-Feb-73
E.T. Evans; 2,50.5,18-Jun-80
Emmett ISD;,59,20-Apr-00
Ewing Co. / MATES,521,29-Oct-92
F. Bonessa,500,1-Jun-99
F. Freel,0,23-May-43
Farm Dev Corp,486,30-Oct-01
Frisby Land Holdings,173,23-Sep-16
G. Sill,80,23-Mar-00
G.J. Cunningham,409.3,1-Feb-82
G.L. Schwisow,-6.9,1-Dec-90
