X,Y,Z
152883.620,122585.703,101.87
152887.867,122594.552,101.91
152885.224,122592.788,101.89
152882.812,122591.438,101.88
152890.517,122593.633,101.84
152888.186,122591.758,101.90
152885.534,122590.222,101.89
152880.814,122586.420,101.92
152892.920,122592.680,101.91
152888.165,122588.504,101.86
152887.562,122598.103,102.40
152881.050,122583.776,101.80
152881.155,122580.563,101.69
152883.481,122582.463,101.75
152883.394,122580.347,101.78
152885.733,122584.371,101.81
152890.628,122587.529,101.85
152891.477,122585.009,101.87
152888.180,122584.043,101.87
152892.798,122595.009,101.90
152890.169,122596.408,101.90
