Ref_puits	Long_decoupe_tube
100	9.5
101	22.5
102	5.5
103	27.5
104	29.0
105	25.0
106	20.5
107	12.0
108	21.5
109	17.0
110	10.0
111	12.5
112	31.5
113	27.0
114	23.5
115	29.5
116	35.0
117	34.5
118	25.5
119	46.5
120	33.5
121	22.0
122	27.0
123	33.0
124	36.5
125	28.0
126	36.5
127	26.0
128	36.5
129	46.0
200	13.0
201	16.5
202	8.0
203	26.0
204	27.5
205	16.0
206	11.0
207	21.0
208	23.0
209	20.5
210	43.0
211	35.0
212	32.5
213	30.0
214	31.5
215	31.5
216	20.0
217	27.0
218	22.5
219	37.0
220	34.5
221	28.0
222	35.0
223	32.0
224	33.5
225	26.0
226	23.5
227	23.0
